sID,Bangla,IPA,Dekhabet,Tokens
10870,সিকোয়েন্স ২,si.ko.jens d̪ui ,sikoeens dui ,"[10, 3, 18, 4, 2, 2, 15, 10, 0, 17, 5, 3, 0]"
10874,কথাও বলেছি,kɔ.t̪ʰa.o bo.le.cʰi ,kothao bolechhi ,"[18, 4, 11, 9, 1, 4, 0, 8, 4, 13, 2, 20, 9, 3, 0]"
10881,যা হবার হবে,ɟa hɔ.bar hɔ.be ,ja hobar hobe ,"[12, 1, 0, 9, 4, 8, 1, 16, 0, 9, 4, 8, 2, 0]"
10882,সিকোয়েন্স ৩,si.ko.jens t̪in ,sikoeens tin ,"[10, 3, 18, 4, 2, 2, 15, 10, 0, 11, 3, 15, 0]"
10884,কি হলো এক রাতে,ki ho.lo æk ra.t̪e ,ki holo ek rate ,"[18, 3, 0, 9, 4, 13, 4, 0, 2, 18, 0, 16, 1, 11, 2, 0]"
10886,এড়িয়ে যাচ্ছে,e.ɾi.je ɟac.cʰe ,eriee jachchhe ,"[2, 16, 3, 2, 2, 0, 12, 1, 20, 20, 9, 2, 0]"
10887,নাহ আমাকে জানতেই হবে,nah a.ma.ke ɟan.t̪ei hɔ.be ,nah amake jantei hobe ,"[15, 1, 9, 0, 1, 14, 1, 18, 2, 0, 12, 1, 15, 11, 2, 3, 0, 9, 4, 8, 2, 0]"
10889,সিকোয়েন্স ৪,si.ko.jens car ,sikoeens char ,"[10, 3, 18, 4, 2, 2, 15, 10, 0, 20, 1, 16, 0]"
10895,একটুও কষ্ট হচ্ছে না,ek.tu.o kɔʃ.to hoc.cʰe na ,ektuo koshto hochchhe na ,"[2, 18, 11, 5, 4, 0, 18, 4, 21, 11, 4, 0, 9, 4, 20, 20, 9, 2, 0, 15, 1, 0]"
10896,ছেলেরা তো এমনই হয়,cʰe.le.ra t̪o æ.mo.ni hɔj ,chhelera to emoni hoe ,"[20, 9, 2, 13, 2, 16, 1, 0, 11, 4, 0, 2, 14, 4, 15, 3, 0, 9, 4, 2, 0]"
10897,অসহ্য লাগছে,ɔ.ʃoɟ.ɟʰo lag.cʰe ,oshojjho lagchhe ,"[4, 21, 4, 12, 12, 9, 4, 0, 13, 1, 6, 20, 9, 2, 0]"
10898,কেন জানতে চাচ্ছে না,kæ.no ɟan.t̪e cac.cʰe na ,keno jante chachchhe na ,"[18, 2, 15, 4, 0, 12, 1, 15, 11, 2, 0, 20, 1, 20, 20, 9, 2, 0, 15, 1, 0]"
10909,গ্যারাকলে পড়েছে,gæ.ra.kɔ.le po.ɾe.cʰe ,gerakole porechhe ,"[6, 2, 16, 1, 18, 4, 13, 2, 0, 7, 4, 16, 2, 20, 9, 2, 0]"
10914,তাহলে কাকে খুশি করব,t̪a.ho.le ka.ke kʰu.ʃi kor.bo ,tahole kake khushi korbo ,"[11, 1, 9, 4, 13, 2, 0, 18, 1, 18, 2, 0, 18, 9, 5, 21, 3, 0, 18, 4, 16, 8, 4, 0]"
10915,নিজেকে না অন্যকে,ni.ɟe.ke na on.no.ke ,nijeke na onnoke ,"[15, 3, 12, 2, 18, 2, 0, 15, 1, 0, 4, 15, 15, 4, 18, 2, 0]"
10917,আত্মার আত্মা,at̪.t̪ãr at̪.t̪ã ,attar atta ,"[1, 11, 11, 1, 16, 0, 1, 11, 11, 1, 0]"
10921,ভিন্ন ভিন্ন ভালোবাসা,bʰin.no bʰin.no bʰa.lo.ba.ʃa ,bhinno bhinno bhalobasha ,"[8, 9, 3, 15, 15, 4, 0, 8, 9, 3, 15, 15, 4, 0, 8, 9, 1, 13, 4, 8, 1, 21, 1, 0]"
10922,ভিন্ন ভিন্ন আবেগ,bʰin.no bʰin.no a.beg ,bhinno bhinno abeg ,"[8, 9, 3, 15, 15, 4, 0, 8, 9, 3, 15, 15, 4, 0, 1, 8, 2, 6, 0]"
10924,এ চলার কোনো শেষ নেই,e cɔ.lar ko.no ʃeʃ nei ,e cholar kono shesh nei ,"[2, 0, 20, 4, 13, 1, 16, 0, 18, 4, 15, 4, 0, 21, 2, 21, 0, 15, 2, 3, 0]"
10929,না পার করা ঠিক,na par kɔ.ra tʰik ,na par kora thik ,"[15, 1, 0, 7, 1, 16, 0, 18, 4, 16, 1, 0, 11, 9, 3, 18, 0]"
10930,আপনিই বলুন,ap.ni.i bo.lun ,apnii bolun ,"[1, 7, 15, 3, 3, 0, 8, 4, 13, 5, 15, 0]"
10943,ফলের ব্যবহার,pʰɔ.ler bæ.bo.har ,pholer bebohar ,"[7, 9, 4, 13, 2, 16, 0, 8, 2, 8, 4, 9, 1, 16, 0]"
10965,একনজরে-,æk.nɔ.ɟo.re ,eknojore ,"[2, 18, 15, 4, 12, 4, 16, 2, 0]"
10971,জাম,ɟam ,jam ,"[12, 1, 14, 0]"
10979,বেল,bel ,bel ,"[8, 2, 13, 0]"
10983,লিচু,li.cu ,lichu ,"[13, 3, 20, 5, 0]"
10988,বাঙ্গি,baŋ.gi ,banggi ,"[8, 1, 19, 6, 3, 0]"
10992,তরমুজ,t̪or.muɟ ,tormuj ,"[11, 4, 16, 14, 5, 12, 0]"
10998,আম,am ,am ,"[1, 14, 0]"
11007,কাঁঠাল,kã.tʰal ,kathal ,"[18, 1, 11, 9, 1, 13, 0]"
11014,তাল,t̪al ,tal ,"[11, 1, 13, 0]"
11019,জামরুল,ɟam.rul ,jamrul ,"[12, 1, 14, 16, 5, 13, 0]"
11022,আম,am ,am ,"[1, 14, 0]"
11026,কাঁঠাল,kã.tʰal ,kathal ,"[18, 1, 11, 9, 1, 13, 0]"
11030,জাম,ɟam ,jam ,"[12, 1, 14, 0]"
11034,বেল,bel ,bel ,"[8, 2, 13, 0]"
11038,লিচু,li.cu ,lichu ,"[13, 3, 20, 5, 0]"
11099,সেলফোন,sel.pʰon ,selphon ,"[10, 2, 13, 7, 9, 4, 15, 0]"
11119,কেনাকাটার টিপস,ke.na.ka.tar tips ,kenakatar tips ,"[18, 2, 15, 1, 18, 1, 11, 1, 16, 0, 11, 3, 7, 10, 0]"
11137,নোটিশ,no.tiʃ ,notish ,"[15, 4, 11, 3, 21, 0]"
11144,ছবি পাঠাবেন,cʰo.bi pa.tʰa.ben ,chhobi pathaben ,"[20, 9, 4, 8, 3, 0, 7, 1, 11, 9, 1, 8, 2, 15, 0]"
11146,সাবধান,ʃab.d̪ʰan ,shabdhan ,"[21, 1, 8, 17, 9, 1, 15, 0]"
11148,মহিউদ্দিন নিলয়,mo.hi.ud̪.d̪in ni.lɔj ,mohiuddin niloe ,"[14, 4, 9, 3, 5, 17, 17, 3, 15, 0, 15, 3, 13, 4, 2, 0]"
11149,কয়েকদিন আগের কথা,kɔ.ek.d̪in a.ger kɔ.t̪ʰa ,koekdin ager kotha ,"[18, 4, 2, 18, 17, 3, 15, 0, 1, 6, 2, 16, 0, 18, 4, 11, 9, 1, 0]"
11158,সংস্কার কাজ চলিতেছে,ʃɔŋʃ.kar kaɟ co.li.t̪e.cʰe ,shongshkar kaj cholitechhe ,"[21, 4, 19, 21, 18, 1, 16, 0, 18, 1, 12, 0, 20, 4, 13, 3, 11, 2, 20, 9, 2, 0]"
11168,আসে ডেসার লোকজন,a.ʃe de.sar lok.ɟon ,ashe desar lokjon ,"[1, 21, 2, 0, 17, 2, 10, 1, 16, 0, 13, 4, 18, 12, 4, 15, 0]"
11169,বিদ্যুৎ লাইনের সংস্কার হয়,bid̪.d̪ut̪ lai.ner ʃɔŋʃ.kar hɔj ,biddut lainer shongshkar hoe ,"[8, 3, 17, 17, 5, 11, 0, 13, 1, 3, 15, 2, 16, 0, 21, 4, 19, 21, 18, 1, 16, 0, 9, 4, 2, 0]"
11209,কিন্তু তারপরও বিধিবাম,kin.t̪u t̪ar.pɔr.o bi.d̪ʰi.bam ,kintu tarporo bidhibam ,"[18, 3, 15, 11, 5, 0, 11, 1, 16, 7, 4, 16, 4, 0, 8, 3, 17, 9, 3, 8, 1, 14, 0]"
11240,"অতএব, সাবধান",ɔ.t̪o.eb ʃab.d̪ʰan ,otoeb shabdhan ,"[4, 11, 4, 2, 8, 0, 21, 1, 8, 17, 9, 1, 15, 0]"
11241,সংস্কার চলিতেছে,ʃɔŋʃ.kar co.li.t̪e.cʰe ,shongshkar cholitechhe ,"[21, 4, 19, 21, 18, 1, 16, 0, 20, 4, 13, 3, 11, 2, 20, 9, 2, 0]"
11242,জলছবি,ɟɔl.cʰo.bʰi ,jolchhobhi ,"[12, 4, 13, 20, 9, 4, 8, 9, 3, 0]"
11243,সম্পাদকীয়,ʃɔm.pa.d̪ɔ.ki.o ,shompadokio ,"[21, 4, 14, 7, 1, 17, 4, 18, 3, 4, 0]"
11251,কফি,ko.pʰi ,kophi ,"[18, 4, 7, 9, 3, 0]"
11256,চীনে বাদাম,ci.ne ba.d̪am ,chine badam ,"[20, 3, 15, 2, 0, 8, 1, 17, 1, 14, 0]"
11259,ওরে বা বা,o.re ba ba ,ore ba ba ,"[4, 16, 2, 0, 8, 1, 0, 8, 1, 0]"
11265,চার,car ,char ,"[20, 1, 16, 0]"
11274,এখন সেখানে কিছু নেই,æ.kʰon ʃe.kʰa.ne ki.cʰu nei ,ekhon shekhane kichhu nei ,"[2, 18, 9, 4, 15, 0, 21, 2, 18, 9, 1, 15, 2, 0, 18, 3, 20, 9, 5, 0, 15, 2, 3, 0]"
11277,জানালাগুলো খোলা,ɟa.na.la.gu.lo kʰo.la ,janalagulo khola ,"[12, 1, 15, 1, 13, 1, 6, 5, 13, 4, 0, 18, 9, 4, 13, 1, 0]"
11295,"তোকে বলেছে""",t̪o.ke bo.le.cʰe ,toke bolechhe ,"[11, 4, 18, 2, 0, 8, 4, 13, 2, 20, 9, 2, 0]"
11296,"বিশ্বাস করলি না""",biʃ.ʃaʃ kor.li na ,bishshash korli na ,"[8, 3, 21, 21, 1, 21, 0, 18, 4, 16, 13, 3, 0, 15, 1, 0]"
11299,"থেকে খুন হয়ে যায়""",t̪ʰe.ke kʰun ho.je ɟaj ,theke khun hoee jae ,"[11, 9, 2, 18, 2, 0, 18, 9, 5, 15, 0, 9, 4, 2, 2, 0, 12, 1, 2, 0]"
11301,কয়েকশ বছর বেঁচে থাকে,kɔ.jek.ʃɔ bɔ.cʰor bẽ.ce t̪ʰa.ke ,koeeksho bochhor beche thake ,"[18, 4, 2, 2, 18, 21, 4, 0, 8, 4, 20, 9, 4, 16, 0, 8, 2, 20, 2, 0, 11, 9, 1, 18, 2, 0]"
11303,এখন চল যাই,æ.kʰon cɔl ɟai ,ekhon chol jai ,"[2, 18, 9, 4, 15, 0, 20, 4, 13, 0, 12, 1, 3, 0]"
11306,এই তো ঢুকেছি,ei t̪o dʰu.ke.cʰi ,ei to dhukechhi ,"[2, 3, 0, 11, 4, 0, 17, 9, 5, 18, 2, 20, 9, 3, 0]"
11316,সাবধান,ʃab.d̪ʰan ,shabdhan ,"[21, 1, 8, 17, 9, 1, 15, 0]"
11318,ওজন কম করে দেব,o.ɟon kɔm ko.re d̪e.bo ,ojon kom kore debo ,"[4, 12, 4, 15, 0, 18, 4, 14, 0, 18, 4, 16, 2, 0, 17, 2, 8, 4, 0]"
11319,তা বলছি না,t̪a bol.cʰi na ,ta bolchhi na ,"[11, 1, 0, 8, 4, 13, 20, 9, 3, 0, 15, 1, 0]"
11320,নিচে দেখে পা ফেলিস,ni.ce d̪e.kʰe pa pʰe.liʃ ,niche dekhe pa phelish ,"[15, 3, 20, 2, 0, 17, 2, 18, 9, 2, 0, 7, 1, 0, 7, 9, 2, 13, 3, 21, 0]"
11323,নিয়াজের মতো,ni.ja.ɟer mɔ.t̪o ,nieajer moto ,"[15, 3, 2, 1, 12, 2, 16, 0, 14, 4, 11, 4, 0]"
11329,দরজাটি বন্ধ,d̪ɔr.ɟa.ti bɔn.d̪ʰo ,dorjati bondho ,"[17, 4, 16, 12, 1, 11, 3, 0, 8, 4, 15, 17, 9, 4, 0]"
11335,সেটা ভদ্রতা -”,ʃe.ta bʰɔd̪.d̪ro.t̪a ,sheta bhoddrota ,"[21, 2, 11, 1, 0, 8, 9, 4, 17, 17, 16, 4, 11, 1, 0]"
11344,চমৎকার শ্বেতপাথরের টেবিল,cɔ.mot̪.kar ʃet̪.pa.t̪ʰo.rer te.bil ,chomotkar shetpathorer tebil ,"[20, 4, 14, 4, 11, 18, 1, 16, 0, 21, 2, 11, 7, 1, 11, 9, 4, 16, 2, 16, 0, 11, 2, 8, 3, 13, 0]"
11345,দামি মাইক্রোস্কোপ,d̪a.mi ma.ik.kros.kop ,dami maikkroskop ,"[17, 1, 14, 3, 0, 14, 1, 3, 18, 18, 16, 4, 10, 18, 4, 7, 0]"
11357,ড. মাজেদ খান,dɔk.tɔr ma.ɟed̪ kʰan ,doktor majed khan ,"[17, 4, 18, 11, 4, 16, 0, 14, 1, 12, 2, 17, 0, 18, 9, 1, 15, 0]"
11359,"আমাকে জিজ্ঞেস করিস না""",a.ma.ke ɟig.gẽʃ ko.riʃ na ,amake jiggesh korish na ,"[1, 14, 1, 18, 2, 0, 12, 3, 6, 6, 2, 21, 0, 18, 4, 16, 3, 21, 0, 15, 1, 0]"
11360,"আমি এই নাম দিইনি""",a.mi ei nam d̪i.i.ni ,ami ei nam diini ,"[1, 14, 3, 0, 2, 3, 0, 15, 1, 14, 0, 17, 3, 3, 15, 3, 0]"
11372,"ডায়েরি""",daj.e.ri ,daeeri ,"[17, 1, 2, 2, 16, 3, 0]"
11373,"ডায়েরি""",daj.e.ri ,daeeri ,"[17, 1, 2, 2, 16, 3, 0]"
11375,"হ্যাঁ পার্সোনাল ডায়েরি""",hã par.so.nal daj.e.ri ,ha parsonal daeeri ,"[9, 1, 0, 7, 1, 16, 10, 4, 15, 1, 13, 0, 17, 1, 2, 2, 16, 3, 0]"
11392,কে খুন করেছে,ke kʰun ko.re.cʰe ,ke khun korechhe ,"[18, 2, 0, 18, 9, 5, 15, 0, 18, 4, 16, 2, 20, 9, 2, 0]"
11393,কাকে খুন করেছে,ka.ke kʰun ko.re.cʰe ,kake khun korechhe ,"[18, 1, 18, 2, 0, 18, 9, 5, 15, 0, 18, 4, 16, 2, 20, 9, 2, 0]"
11397,হঠাৎ করে সে মুখ তুলে তাকায়,hɔ.tʰat̪ ko.re ʃe mukʰ t̪u.le t̪a.kaj ,hothat kore she mukh tule takae ,"[9, 4, 11, 9, 1, 11, 0, 18, 4, 16, 2, 0, 21, 2, 0, 14, 5, 18, 9, 0, 11, 5, 13, 2, 0, 11, 1, 18, 1, 2, 0]"
11400,"বেজি""",be.ɟi ,beji ,"[8, 2, 12, 3, 0]"
11404,কী বলছিস তুই,ki bol.cʰiʃ t̪ui ,ki bolchhish tui ,"[18, 3, 0, 8, 4, 13, 20, 9, 3, 21, 0, 11, 5, 3, 0]"
11406,এই দ্যাখ,ei d̪ækʰ ,ei dekh ,"[2, 3, 0, 17, 2, 18, 9, 0]"
11410,নিয়াজ মুখ তুলে তাকাল,ni.jaɟ mukʰ t̪u.le t̪a.ka.lo ,nieaj mukh tule takalo ,"[15, 3, 2, 1, 12, 0, 14, 5, 18, 9, 0, 11, 5, 13, 2, 0, 11, 1, 18, 1, 13, 4, 0]"
11429,গুলি করে মারার চেষ্টা করেছি,gu.li ko.re ma.rar ceʃ.ta ko.re.cʰi ,guli kore marar cheshta korechhi ,"[6, 5, 13, 3, 0, 18, 4, 16, 2, 0, 14, 1, 16, 1, 16, 0, 20, 2, 21, 11, 1, 0, 18, 4, 16, 2, 20, 9, 3, 0]"
11434,এখন কী হবে,æ.kʰon ki hɔ.be ,ekhon ki hobe ,"[2, 18, 9, 4, 15, 0, 18, 3, 0, 9, 4, 8, 2, 0]"
11445,অবিশ্বাস্য ব্যাপার,ɔ.biʃ.ʃaʃ.ʃo bæ.par ,obishshashsho bepar ,"[4, 8, 3, 21, 21, 1, 21, 21, 4, 0, 8, 2, 7, 1, 16, 0]"
11448,"বুঝতে পেরেছি""",buɟʰ.t̪e pe.re.cʰi ,bujhte perechhi ,"[8, 5, 12, 9, 11, 2, 0, 7, 2, 16, 2, 20, 9, 3, 0]"
11455,এই বেজিগুলো বুদ্ধিমান,ei be.ɟi.gu.lo bud̪.d̪ʰi.man ,ei bejigulo buddhiman ,"[2, 3, 0, 8, 2, 12, 3, 6, 5, 13, 4, 0, 8, 5, 17, 17, 9, 3, 14, 1, 15, 0]"
11462,তার পরের অংশটি সহজ,t̪ar pɔ.rer ɔŋ.ʃo.ti ʃɔ.hoɟ ,tar porer ongshoti shohoj ,"[11, 1, 16, 0, 7, 4, 16, 2, 16, 0, 4, 19, 21, 4, 11, 3, 0, 21, 4, 9, 4, 12, 0]"
11464,কী নৃশংস,ki nri.ʃɔŋ.ʃo ,ki nrishongsho ,"[18, 3, 0, 15, 16, 3, 21, 4, 19, 21, 4, 0]"
11467,ভয় পাওয়ারই কথা,bʰɔj pa.o.ja.ri kɔ.t̪ʰa ,bhoe paoeari kotha ,"[8, 9, 4, 2, 0, 7, 1, 4, 2, 1, 16, 3, 0, 18, 4, 11, 9, 1, 0]"
11469,"কী বলেছিল""",ki bo.le.cʰi.lo ,ki bolechhilo ,"[18, 3, 0, 8, 4, 13, 2, 20, 9, 3, 13, 4, 0]"
11470,"চোখ দুটো সাবধান""",cokʰ d̪u.to ʃab.d̪ʰan ,chokh duto shabdhan ,"[20, 4, 18, 9, 0, 17, 5, 11, 4, 0, 21, 1, 8, 17, 9, 1, 15, 0]"
11472,মনে আছে -”,mo.ne a.cʰe ,mone achhe ,"[14, 4, 15, 2, 0, 1, 20, 9, 2, 0]"
11473,"এখন বুঝেছিস তো কেন""",æ.kʰon bu.ɟʰe.cʰiʃ t̪o kæ.no ,ekhon bujhechhish to keno ,"[2, 18, 9, 4, 15, 0, 8, 5, 12, 9, 2, 20, 9, 3, 21, 0, 11, 4, 0, 18, 2, 15, 4, 0]"
11483,কেন বের হল,kæ.no ber hɔl ,keno ber hol ,"[18, 2, 15, 4, 0, 8, 2, 16, 0, 9, 4, 13, 0]"
11485,এখন এই দ্বীপে আমি একা,æ.kʰon ei d̪i.pe a.mi æ.ka ,ekhon ei dipe ami eka ,"[2, 18, 9, 4, 15, 0, 2, 3, 0, 17, 3, 7, 2, 0, 1, 14, 3, 0, 2, 18, 1, 0]"
11489,"না""",na ,na ,"[15, 1, 0]"
11490,"""আরো কয়েক পৃষ্ঠা আছে""",a.ro kɔ.ek priʃ.tʰa a.cʰe ,aro koek prishtha achhe ,"[1, 16, 4, 0, 18, 4, 2, 18, 0, 7, 16, 3, 21, 11, 9, 1, 0, 1, 20, 9, 2, 0]"
11491,"কী লেখা আছে এখানে""",ki le.kʰa a.cʰe e.kʰa.ne ,ki lekha achhe ekhane ,"[18, 3, 0, 13, 2, 18, 9, 1, 0, 1, 20, 9, 2, 0, 2, 18, 9, 1, 15, 2, 0]"
11512,আমি জানি না,a.mi ɟa.ni na ,ami jani na ,"[1, 14, 3, 0, 12, 1, 15, 3, 0, 15, 1, 0]"
11522,"সব আমার দোষ""",ʃɔb a.mar d̪oʃ ,shob amar dosh ,"[21, 4, 8, 0, 1, 14, 1, 16, 0, 17, 4, 21, 0]"
11524,"ওসব বলে লাভ নেই""",o.ʃɔb bo.le labʰ nei ,oshob bole labh nei ,"[4, 21, 4, 8, 0, 8, 4, 13, 2, 0, 13, 1, 8, 9, 0, 15, 2, 3, 0]"
11527,"মানে""",ma.ne ,mane ,"[14, 1, 15, 2, 0]"
11529,আসলে সেরকম কিছু নেই,a.ʃo.le ʃe.rɔ.kom ki.cʰu nei ,ashole sherokom kichhu nei ,"[1, 21, 4, 13, 2, 0, 21, 2, 16, 4, 18, 4, 14, 0, 18, 3, 20, 9, 5, 0, 15, 2, 3, 0]"
