Bangla,IPA,CMUBETs
দুবছর ধরে নেই কোনো করণিক,d̪u.bɔ.cʰor d̪ʰɔ.re nei ko.no kɔ.ro.nik ,D UW B AO OW R SIL D AO R EY SIL N EY IH SIL K OW N OW SIL K AO R OW N IH K
এ বিদ্যালয়ে ছাত্রীসংখ্যা প্রায় ৭৫০,e bid̪.d̪a.lɔ.je cʰat̪.t̪ri.ʃɔŋ.kʰa praj ʃat̪.ʃo pɔn.caʃ ,EY SIL B IH D D AA L AO Y EY SIL AA T T R IH SH AO NG K AA SIL P R AA Y SIL SH AA T SH OW SIL P AO N AA SH
কিন্তু শিক্ষক মাত্র ছয় জন,kin.t̪u ʃik.kʰɔk mat̪.t̪ro cʰɔj ɟɔn ,K IH N T UW SIL SH IH K K AO K SIL M AA T T R OW SIL AO Y SIL JH AO N
সম্প্রতি একজন বিজ্ঞান বিভাগের শিক্ষক তিন মাসের ট্রেনিংয়ে গেছেন,ʃɔm.pro.t̪i æk.ɟɔn big.gãn bi.bʰa.ger ʃik.kʰɔk t̪in ma.ʃer tre.niŋ.je gæ.cʰen ,SH AO M P R OW T IH SIL AE K JH AO N SIL B IH AA N SIL B IH B AA EY R SIL SH IH K K AO K SIL T IH N SIL M AA SH EY R SIL T R EY N IH NG Y EY SIL AE EY N
এই বিদ্যালয়ে চতুর্থ শ্রেণী থেকে দশম শ্রেণী পর্যন্ত পড়ানো হয়,ei bid̪.d̪a.lɔ.je co.t̪urt̪.t̪ʰo sre.ni t̪ʰe.ke d̪ɔ.ʃom sre.ni pɔrɟ.ɟon.t̪o pɔ.ɾa.no hɔj ,EY IH SIL B IH D D AA L AO Y EY SIL OW T UW R T T OW SIL S R EY N IH SIL T EY K EY SIL D AO SH OW M SIL S R EY N IH SIL P AO R JH JH OW N T OW SIL P AO DX AA N OW SIL HH AO Y
এই সাতটি শ্রেণীর পাঠদান করা পাঁচজন শিক্ষকের পক্ষে অসম্ভব হয়ে দেখা দেয়,ei ʃat̪.ti sre.nir patʰ.d̪an kɔ.ra pãc.ɟɔn ʃik.kʰo.ker pɔk.kʰe ɔ.ʃɔm.bʰɔb ho.je d̪æ.kʰa d̪e.o ,EY IH SIL SH AA T T IH SIL S R EY N IH R SIL P AA T D AA N SIL K AO R AA SIL P AA JH AO N SIL SH IH K K OW K EY R SIL P AO K K EY SIL AO SH AO M B AO B SIL HH OW Y EY SIL D AE K AA SIL D EY OW
নৈশ প্রহরীর পদেও কোনো লোক নেই,noi.ʃo pro.ho.rir pɔ.d̪e.o ko.no lok nei ,N OW IH SH OW SIL P R OW HH OW R IH R SIL P AO D EY OW SIL K OW N OW SIL L OW K SIL N EY IH
রাতে বিদ্যালয়টি অরক্ষিত অবস্থায় থাকে,ra.t̪e bid̪.d̪a.lɔj.ti ɔ.rok.kʰi.t̪o ɔ.bos.t̪ʰaj t̪ʰa.ke ,R AA T EY SIL B IH D D AA L AO Y T IH SIL AO R OW K K IH T OW SIL AO B OW S T AA Y SIL T AA K EY
"এই বিদ্যালয়ে একটি লাইব্রেরি আছে, কিন্তু সেই লাইব্রেরি কক্ষ কখনোই খোলা হয় না",ei bid̪.d̪a.lɔ.je ek.ti lai.bre.ri a.cʰe kin.t̪u ʃei lai.bre.ri kok.kʰo kɔ.kʰo.no.i kʰo.la hɔj na ,EY IH SIL B IH D D AA L AO Y EY SIL EY K T IH SIL L AA IH B R EY R IH SIL AA EY SIL K IH N T UW SIL SH EY IH SIL L AA IH B R EY R IH SIL K OW K K OW SIL K AO K OW N OW IH SIL K OW L AA SIL HH AO Y SIL N AA
কারণ কোনো গ্রন্থাগারিক নেই,ka.ron ko.no gron.t̪ʰa.ga.rik nei ,K AA R OW N SIL K OW N OW SIL R OW N T AA AA R IH K SIL N EY IH
যে কারণে শিক্ষার্থীরা লাইব্রেরির বই পড়া থেকে বঞ্চিত হচ্ছে,ɟe ka.ro.ne ʃik.kʰar.t̪ʰi.ra laib.bre.rir boi pɔ.ɾa t̪ʰe.ke bon.ci.t̪o hoc.cʰe ,JH EY SIL K AA R OW N EY SIL SH IH K K AA R T IH R AA SIL L AA IH B B R EY R IH R SIL B OW IH SIL P AO DX AA SIL T EY K EY SIL B OW N IH T OW SIL HH OW EY
বিজ্ঞানাগারটাও সংস্কার করা প্রয়োজন এবং একজন বিজ্ঞান সহকারী প্রয়োজন,big.gæ̃.na.gar.tao ʃɔŋʃ.kar kɔ.ra proj.o.ɟɔn e.bɔŋ æk.ɟɔn big.gãn ʃɔ.ho.ka.ri proj.o.ɟɔn ,B IH AE N AA AA R T AA OW SIL SH AO NG SH K AA R SIL K AO R AA SIL P R OW Y OW JH AO N SIL EY B AO NG SIL AE K JH AO N SIL B IH AA N SIL SH AO HH OW K AA R IH SIL P R OW Y OW JH AO N
উপরিউক্ত সমস্যাগুলোর সমাধানে যথাযথ ব্যবস্থা গ্রহণের জন্য ঊর্ধ্বতন কর্তৃপক্ষের সদয় দৃষ্টি আকর্ষণ করছি,u.po.ri.uk.t̪o ʃɔ.moʃ.ʃa.gu.lor ʃɔ.ma.d̪ʰa.ne ɟɔ.t̪ʰa.ɟɔ.t̪ʰo bæ.bos.t̪ʰa gro.ho.ner ɟon.no urd̪.d̪ʰo.t̪ɔ.no kor.t̪ri.pok.kʰer ʃɔ.d̪ɔj d̪riʃ.ti a.kɔrʃ.ʃon kor.cʰi ,UW P OW R IH UW K T OW SIL SH AO M OW SH SH AA UW L OW R SIL SH AO M AA D AA N EY SIL JH AO T AA JH AO T OW SIL B AE B OW S T AA SIL R OW HH OW N EY R SIL JH OW N N OW SIL UW R D D OW T AO N OW SIL K OW R T R IH P OW K K EY R SIL SH AO D AO Y SIL D R IH SH T IH SIL AA K AO R SH SH OW N SIL K OW R IH
সোনিয়া মৌমিতা,so.ni.ja mou.mi.t̪a ,S OW N IH Y AA SIL M OW UW M IH T AA
"কাউখালী, পিরোজপুর",ka.u.kʰa.li pi.roɟ.pur ,K AA UW K AA L IH SIL P IH R OW JH P UW R
বিহঙ্গেরে তুলিয়া লও বুকে,bi.hɔŋ.ge.re t̪u.li.ja lɔo bu.ke ,B IH HH AO NG EY R EY SIL T UW L IH Y AA SIL L AO OW SIL B UW K EY
"শীতের শুরুতে দেশের হাওর-বিল, চরাঞ্চল, পাহাড়ি অঞ্চল ছাড়াও গাঁয়ের নির্জন অঞ্চলে অতিথি পাখিরা আসতে শুরু করে",ʃi.t̪er ʃu.ru.t̪e d̪e.ʃer ha.or bil cɔ.ran.cɔl pa.ha.ɾi ɔn.cɔl cʰa.ɾao gã.jer nirɟ.ɟɔn ɔn.cɔ.le o.t̪i.t̪ʰi pa.kʰi.ra aʃ.t̪e ʃu.ru ko.re ,SH IH T EY R SIL SH UW R UW T EY SIL D EY SH EY R SIL HH AA OW R SIL B IH L SIL AO R AA N AO L SIL P AA HH AA DX IH SIL AO N AO L SIL AA DX AA OW SIL AA Y EY R SIL N IH R JH JH AO N SIL AO N AO L EY SIL OW T IH T IH SIL P AA K IH R AA SIL AA SH T EY SIL SH UW R UW SIL K OW R EY
ঝাঁক বেঁধে এরা আসে,ɟʰãk bẽ.d̪ʰe e.ra a.ʃe ,JH AA K SIL B EY D EY SIL EY R AA SIL AA SH EY
দেখতে এরা খুব সুন্দর,d̪ekʰ.t̪e e.ra kʰub ʃun.d̪ɔr ,D EY K T EY SIL EY R AA SIL K UW B SIL SH UW N D AO R
এদের কূজন-গুঞ্জন মনোমুগ্ধকর,e.d̪er ku.ɟɔn gun.ɟɔn mo.no.mug.d̪ʰo.kɔr ,EY D EY R SIL K UW JH AO N SIL UW N JH AO N SIL M OW N OW M UW D OW K AO R
হৃদয়ে শান্তি-সুখের হিল্লোল সৃষ্টিকারী,hri.d̪ɔ.je ʃan.t̪i ʃu.kʰer hil.lol sriʃ.ti.ka.ri ,HH R IH D AO Y EY SIL SH AA N T IH SIL SH UW K EY R SIL HH IH L L OW L SIL S R IH SH T IH K AA R IH
"অতিথি পাখি সুন্দর পরিবেশ সৃষ্টি করে, দর্শকচিত্তকে আনন্দ দেয়, সর্বোপরি পরিবেশের ভারসাম্য রক্ষা করে",o.t̪i.t̪ʰi pa.kʰi ʃun.d̪ɔr po.ri.beʃ sriʃ.ti ko.re d̪ɔr.ʃɔk.cit̪.t̪o.ke a.non.d̪o d̪e.o ʃɔrb.bo.po.ri po.ri.be.ʃer bʰar.ʃam.mo rok.kʰa ko.re ,OW T IH T IH SIL P AA K IH SIL SH UW N D AO R SIL P OW R IH B EY SH SIL S R IH SH T IH SIL K OW R EY SIL D AO R SH AO K IH T T OW K EY SIL AA N OW N D OW SIL D EY OW SIL SH AO R B B OW P OW R IH SIL P OW R IH B EY SH EY R SIL B AA R SH AA M M OW SIL R OW K K AA SIL K OW R EY
কিন্তু অতিথি পাখি দেখে অনেকেই লোভ সামলাতে পারে না,kin.t̪u o.t̪i.t̪ʰi pa.kʰi d̪e.kʰe ɔ.ne.kei lobʰ ʃam.la.t̪e pa.re na ,K IH N T UW SIL OW T IH T IH SIL P AA K IH SIL D EY K EY SIL AO N EY K EY IH SIL L OW B SIL SH AA M L AA T EY SIL P AA R EY SIL N AA
জাল বা ফাঁদ পেতে কিংবা উড়ন্ত পাখিকে গুলি করে মারে অবিবেচনাপ্রসূতভাবে,ɟal ba pʰãd̪ pe.t̪e kiŋ.ba u.ɾɔn.t̪o pa.kʰi.ke gu.li ko.re ma.re ɔ.bi.be.co.nap.pro.ʃu.t̪o.bʰa.be ,JH AA L SIL B AA SIL P AA D SIL P EY T EY SIL K IH NG B AA SIL UW DX AO N T OW SIL P AA K IH K EY SIL UW L IH SIL K OW R EY SIL M AA R EY SIL AO B IH B EY OW N AA P P R OW SH UW T OW B AA B EY
সমাজের কিছুসংখ্যক দুষ্টু ও বিবেকবান লোক এভাবে পাখি শিকার করে বাজারে চড়াদামে বিক্রি করে ভোজনবিলাসীদের কাছে,ʃɔ.ma.ɟer ki.cʰu.ʃɔŋ.kʰok d̪uʃ.tu o bi.bek.ban lok e.bʰa.be pa.kʰi ʃi.kar ko.re ba.ɟa.re cɔ.ɾa.d̪a.me bik.kri ko.re bʰo.ɟon.bi.la.ʃi.d̪er ka.cʰe ,SH AO M AA JH EY R SIL K IH UW SH AO NG K OW K SIL D UW SH T UW SIL OW SIL B IH B EY K B AA N SIL L OW K SIL EY B AA B EY SIL P AA K IH SIL SH IH K AA R SIL K OW R EY SIL B AA JH AA R EY SIL AO DX AA D AA M EY SIL B IH K K R IH SIL K OW R EY SIL B OW JH OW N B IH L AA SH IH D EY R SIL K AA EY
অতিথি পাখি শিকার নিষিদ্ধ জেনেও তারা বিষয়টি থোড়াই কেয়ার করে,o.t̪i.t̪ʰi pa.kʰi ʃi.kar ni.ʃid̪.d̪ʰo ɟe.ne.o t̪a.ra bi.ʃɔj.ti t̪ʰo.ɾai ke.ar ko.re ,OW T IH T IH SIL P AA K IH SIL SH IH K AA R SIL N IH SH IH D D OW SIL JH EY N EY OW SIL T AA R AA SIL B IH SH AO Y T IH SIL T OW DX AA IH SIL K EY AA R SIL K OW R EY
আমাদের দেশে পাখি শিকারের প্রবণতা বিস্ময়কর রকম বেশি,a.ma.d̪er d̪e.ʃe pa.kʰi ʃi.ka.rer pro.bo.nɔ.t̪a biʃ.ʃɔ̃j.kɔr rɔ.kom be.ʃi ,AA M AA D EY R SIL D EY SH EY SIL P AA K IH SIL SH IH K AA R EY R SIL P R OW B OW N AO T AA SIL B IH SH SH AO Y K AO R SIL R AO K OW M SIL B EY SH IH
এতে করে আজ এ দেশের অনেক প্রজাতির পাখি বিলুপ্তির পথে,e.t̪e ko.re aɟ e d̪e.ʃer ɔ.nek pro.ɟa.t̪ir pa.kʰi bi.lup.t̪ir pɔ.t̪ʰe ,EY T EY SIL K OW R EY SIL AA JH SIL EY SIL D EY SH EY R SIL AO N EY K SIL P R OW JH AA T IH R SIL P AA K IH SIL B IH L UW P T IH R SIL P AO T EY
কোনো কোনো পাখি তো চিরতরে হারিয়ে গেছে,ko.no ko.no pa.kʰi t̪o ci.ro.t̪ɔ.re ha.ri.je gæ.cʰe ,K OW N OW SIL K OW N OW SIL P AA K IH SIL T OW SIL IH R OW T AO R EY SIL HH AA R IH Y EY SIL AE EY
অতিথি পাখি উপকারী,o.t̪i.t̪ʰi pa.kʰi u.po.ka.ri ,OW T IH T IH SIL P AA K IH SIL UW P OW K AA R IH
পাখিরা নিষ্কলুষ রাখে এ দেশের জীববৈচিত্র্যকে,pa.kʰi.ra niʃ.ko.luʃ ra.kʰe e d̪e.ʃer ɟi.bo.boi.cit̪.t̪ro.ke ,P AA K IH R AA SIL N IH SH K OW L UW SH SIL R AA K EY SIL EY SIL D EY SH EY R SIL JH IH B OW B OW IH IH T T R OW K EY
বন-বাগানের শোভা বর্ধন করে,bon ba.ga.ner ʃo.bʰa bɔrd̪.d̪ʰon ko.re ,B OW N SIL B AA AA N EY R SIL SH OW B AA SIL B AO R D D OW N SIL K OW R EY
"নদী-নালা, খাল-বিল, পুকুরের জমাট জঞ্জাল এরা ঠোঁট দিয়ে পরিষ্কার করে",no.d̪i na.la kʰal bil pu.ku.rer ɟɔ.mat ɟɔn.ɟal e.ra tʰõt d̪i.e po.riʃ.kar ko.re ,N OW D IH SIL N AA L AA SIL K AA L SIL B IH L SIL P UW K UW R EY R SIL JH AO M AA T SIL JH AO N JH AA L SIL EY R AA SIL T OW T SIL D IH EY SIL P OW R IH SH K AA R SIL K OW R EY
ফসল বিনষ্টকারী পোকা খেয়ে ফসল বাঁচায়,pʰɔ.ʃol bi.nɔʃ.to.ka.ri po.ka kʰe.je pʰɔ.ʃol bã.caj ,P AO SH OW L SIL B IH N AO SH T OW K AA R IH SIL P OW K AA SIL K EY Y EY SIL P AO SH OW L SIL B AA AA Y
বহুদূর থেকে বয়ে এনে নানা বীজ ছড়িয়ে বনে গাছপালা জন্মাতে সাহায্য করে,bo.hu.d̪ur t̪ʰe.ke bɔ.je e.ne na.na biɟ cʰo.ɾi.je bo.ne gacʰ.pa.la ɟɔn.ma.t̪e ʃa.haɟ.ɟo ko.re ,B OW HH UW D UW R SIL T EY K EY SIL B AO Y EY SIL EY N EY SIL N AA N AA SIL B IH JH SIL OW DX IH Y EY SIL B OW N EY SIL AA P AA L AA SIL JH AO N M AA T EY SIL SH AA HH AA JH JH OW SIL K OW R EY
এদের রক্ষা করা জরুরি,e.d̪er rok.kʰa kɔ.ra ɟo.ru.ri ,EY D EY R SIL R OW K K AA SIL K AO R AA SIL JH OW R UW R IH
মো আবদুল আলীম,mo.ham.mɔd̪ ab.d̪ul a.lim ,M OW HH AA M M AO D SIL AA B D UW L SIL AA L IH M
"কিশোরগঞ্জ, নীলফামারী",ki.ʃor.gɔnɟ ni.lɔ.pʰa.ma.ri ,K IH SH OW R AO N JH SIL N IH L AO P AA M AA R IH
মন্ত্রীর কাছে জমি চেয়ে পেল না বিসিবি,mon.t̪rir ka.cʰe ɟo.mi ce.e pe.lo na bi.si.bi ,M OW N T R IH R SIL K AA EY SIL JH OW M IH SIL EY EY SIL P EY L OW SIL N AA SIL B IH S IH B IH
ক্রীড়া প্রতিবেদক,kri.ɾa pro.t̪i.be.d̪ok ,K R IH DX AA SIL P R OW T IH B EY D OW K
"অল্পের জন্য ফুটবলে গত বছর যা পারেনি শেখ রাসেল, ক্রিকেটে সেটাই কৃতিত্বের সঙ্গে অর্জন করেছিল ওল্ড ডিওএইচএস ক্রিকেট ক্লাব",ɔl.per ɟon.no pʰut.bɔ.le gɔ.t̪o bɔ.cʰor ɟa pa.re.ni ʃekʰ ra.sel kri.ke.te ʃe.tai kri.t̪it̪.t̪er ʃɔŋ.ge ɔrɟ.ɟon ko.re.cʰi.lo old di.o.eic.es kri.ket klab ,AO L P EY R SIL JH OW N N OW SIL P UW T B AO L EY SIL AO T OW SIL B AO OW R SIL JH AA SIL P AA R EY N IH SIL SH EY K SIL R AA S EY L SIL K R IH K EY T EY SIL SH EY T AA IH SIL K R IH T IH T T EY R SIL SH AO NG EY SIL AO R JH JH OW N SIL K OW R EY IH L OW SIL OW L D SIL D IH OW EY IH EY S SIL K R IH K EY T SIL K L AA B
"ঠিক ভিনি, ভিডি, ভিসি অর্থাৎ এলাম, দেখলাম, জয় করলাম-এর মতো গত বছর প্রথমবারেই প্রিমিয়ার ক্রিকেট লিগে পদার্পণ করে জিতে নেয় শিরোপা",tʰik bʰi.ni bʰi.di bʰi.si ɔrt̪.t̪ʰat̪ e.lam d̪ækʰ.lam ɟɔj kor.lam er mɔ.t̪o gɔ.t̪o bɔ.cʰor pro.t̪ʰom.ba.rei pri.mi.jar kri.ket li.ge pɔ.d̪arp.pon ko.re ɟi.t̪e nej ʃi.ro.pa ,T IH K SIL B IH N IH SIL B IH D IH SIL B IH S IH SIL AO R T T AA T SIL EY L AA M SIL D AE K L AA M SIL JH AO Y SIL K OW R L AA M SIL EY R SIL M AO T OW SIL AO T OW SIL B AO OW R SIL P R OW T OW M B AA R EY IH SIL P R IH M IH Y AA R SIL K R IH K EY T SIL L IH EY SIL P AO D AA R P P OW N SIL K OW R EY SIL JH IH T EY SIL N EY Y SIL SH IH R OW P AA
কাল রাজধানীর হোটেল পূর্বাণীতে সেই জয়েরই পুরস্কার পেল তারা,kal raɟ.d̪ʰa.nir ho.tel pur.ba.ni.t̪e ʃei ɟɔ.jer.i pu.roʃ.kar pe.lo t̪a.ra ,K AA L SIL R AA JH D AA N IH R SIL HH OW T EY L SIL P UW R B AA N IH T EY SIL SH EY IH SIL JH AO Y EY R IH SIL P UW R OW SH K AA R SIL P EY L OW SIL T AA R AA
"বিসিবি আয়োজিত পুরস্কার বিতরণী অনুষ্ঠানে ক্রীড়া প্রতিমন্ত্রী ফজলুর রহমানের হাত থেকে দলের অধিনায়ক আকরাম খান ও ম্যানেজার সাইফুল ইসলাম যখন ট্রফি হাতে তুললেন, সেই ট্রফির বিচ্ছুরিত আলোর সঙ্গে একাকার হলো তাদের মুখের হাসি",bi.si.bi aj.o.ɟi.t̪o pu.roʃ.kar bi.t̪ɔ.ro.ni o.nuʃ.tʰa.ne kri.ɾa pro.t̪i.mon.t̪ri pʰoɟ.lur rɔh.ma.ner hat̪ t̪ʰe.ke d̪ɔ.ler o.d̪ʰi.naj.ok ak.ram kʰan o mæ.ne.ɟar sai.pʰul is.lam ɟɔ.kʰon trɔ.pʰi ha.t̪e t̪ul.len ʃei trɔ.pʰir bic.cʰu.ri.t̪o a.lor ʃɔŋ.ge e.ka.kar ho.lo t̪a.d̪er mu.kʰer ha.ʃi ,B IH S IH B IH SIL AA Y OW JH IH T OW SIL P UW R OW SH K AA R SIL B IH T AO R OW N IH SIL OW N UW SH T AA N EY SIL K R IH DX AA SIL P R OW T IH M OW N T R IH SIL P OW JH L UW R SIL R AO HH M AA N EY R SIL HH AA T SIL T EY K EY SIL D AO L EY R SIL OW D IH N AA Y OW K SIL AA K R AA M SIL K AA N SIL OW SIL M AE N EY JH AA R SIL S AA IH P UW L SIL IH S L AA M SIL JH AO K OW N SIL T R AO P IH SIL HH AA T EY SIL T UW L L EY N SIL SH EY IH SIL T R AO P IH R SIL B IH UW R IH T OW SIL AA L OW R SIL SH AO NG EY SIL EY K AA K AA R SIL HH OW L OW SIL T AA D EY R SIL M UW K EY R SIL HH AA SH IH
রানার্সআপ ট্রফি নিয়েছেন সিটি ক্লাব অধিনায়ক খালেদ মাহমুদ,ra.nars.ap trɔ.pʰi ni.je.cʰen si.ti klab o.d̪ʰi.naj.ok kʰa.led̪ mah.mud̪ ,R AA N AA R S AA P SIL T R AO P IH SIL N IH Y EY EY N SIL S IH T IH SIL K L AA B SIL OW D IH N AA Y OW K SIL K AA L EY D SIL M AA HH M UW D
তার সঙ্গে ছিলেন ম্যানেজার হোসেন মোল্লা,t̪ar ʃɔŋ.ge cʰi.len mæ.ne.ɟar ho.sen mol.la ,T AA R SIL SH AO NG EY SIL IH L EY N SIL M AE N EY JH AA R SIL HH OW S EY N SIL M OW L L AA
দলীয় ট্রফির বাইরে দু দলের খেলোয়াড়দের ব্যক্তিগত ট্রফিও দেওয়া হয়েছে,d̪o.li.o trɔ.pʰir bai.re d̪u d̪ɔ.ler kʰæ.lo.jaɾ.d̪er bek.t̪i.gɔ.t̪o trɔ.pʰi.o d̪eo.a he.je.cʰe ,D OW L IH OW SIL T R AO P IH R SIL B AA IH R EY SIL D UW SIL D AO L EY R SIL K AE L OW Y AA DX D EY R SIL B EY K T IH AO T OW SIL T R AO P IH OW SIL D EY OW AA SIL HH EY Y EY EY
পুরস্কার বিতরণী অনুষ্ঠানে সভাপতিত্ব করেন সিসিডিএম সভাপতি খন্দকার জামিল উদ্দিন,pu.roʃ.kar bi.t̪ɔ.ro.ni o.nuʃ.tʰa.ne ʃɔ.bʰa.po.t̪it̪.t̪o kɔ.ren si.si.di.em ʃɔ.bʰa.po.t̪i kʰɔn.d̪o.kar ɟa.mil ud̪.d̪in ,P UW R OW SH K AA R SIL B IH T AO R OW N IH SIL OW N UW SH T AA N EY SIL SH AO B AA P OW T IH T T OW SIL K AO R EY N SIL S IH S IH D IH EY M SIL SH AO B AA P OW T IH SIL K AO N D OW K AA R SIL JH AA M IH L SIL UW D D IH N
উপস্থিত ছিলেন স্পনসর গ্রিনডেল্টা ইন্স্যুরেন্স কোম্পানির অতিরিক্ত ব্যবস্থাপনা পরিচালক ফরিদ আহমেদ চৌধুরী,u.pos.t̪ʰit̪ cʰi.len spɔn.sɔr grin.del.ta in.ʃu.rens kom.pa.nir o.t̪i.rik.t̪o bæ.bos.t̪ʰa.po.na po.ri.ca.lok pʰo.rid̪ ah.med̪ cou.d̪ʰu.ri ,UW P OW S T IH T SIL IH L EY N SIL S P AO N S AO R SIL R IH N D EY L T AA SIL IH N SH UW R EY N S SIL K OW M P AA N IH R SIL OW T IH R IH K T OW SIL B AE B OW S T AA P OW N AA SIL P OW R IH AA L OW K SIL P OW R IH D SIL AA HH M EY D SIL OW UW D UW R IH
